"Year","cpi_score","iso_3"
2009,3.7,"COL"
1998,NA,"COM"
1999,NA,"COM"
2000,NA,"COM"
2001,NA,"COM"
2002,NA,"COM"
2003,NA,"COM"
2004,NA,"COM"
2005,NA,"COM"
2006,NA,"COM"
2007,2.6,"COM"
2008,2.5,"COM"
2009,2.3,"COM"
1998,NA,"COG"
1999,NA,"COG"
2000,NA,"COG"
2001,NA,"COG"
2002,NA,"COG"
2003,NA,"COG"
2004,NA,"COG"
2005,NA,"COG"
2006,NA,"COG"
2007,NA,"COG"
2008,NA,"COG"
2009,1.9,"COG"
1998,NA,"COG"
1999,NA,"COG"
2000,NA,"COG"
2001,NA,"COG"
2002,NA,"COG"
2003,NA,"COG"
2004,NA,"COG"
2005,NA,"COG"
2006,NA,"COG"
2007,NA,"COG"
2008,NA,"COG"
2009,NA,"COG"
1998,NA,"COG"
1999,NA,"COG"
2000,NA,"COG"
2001,NA,"COG"
2002,NA,"COG"
2003,NA,"COG"
2004,NA,"COG"
2005,2.1,"COG"
2006,2,"COG"
2007,1.9,"COG"
2008,NA,"COG"
2009,NA,"COG"
1998,NA,"COG"
1999,NA,"COG"
2000,NA,"COG"
2001,NA,"COG"
2002,NA,"COG"
2003,NA,"COG"
2004,2,"COG"
2005,NA,"COG"
2006,NA,"COG"
2007,NA,"COG"
2008,1.7,"COG"
2009,NA,"COG"
1998,NA,"COD"
1999,NA,"COD"
2000,NA,"COD"
2001,NA,"COD"
2002,NA,"COD"
2003,NA,"COD"
2004,NA,"COD"
2005,NA,"COD"
2006,2.2,"COD"
2007,2.1,"COD"
2008,NA,"COD"
2009,NA,"COD"
1998,NA,"COD"
1999,NA,"COD"
2000,NA,"COD"
2001,NA,"COD"
2002,NA,"COD"
2003,NA,"COD"
2004,NA,"COD"
2005,NA,"COD"
2006,NA,"COD"
2007,NA,"COD"
2008,NA,"COD"
2009,NA,"COD"
1998,NA,"COD"
1999,NA,"COD"
2000,NA,"COD"
2001,NA,"COD"
2002,NA,"COD"
2003,NA,"COD"
2004,NA,"COD"
2005,NA,"COD"
2006,NA,"COD"
2007,NA,"COD"
2008,1.9,"COD"
2009,NA,"COD"
1998,NA,"COD"
1999,NA,"COD"
2000,NA,"COD"
2001,NA,"COD"
2002,NA,"COD"
2003,NA,"COD"
2004,NA,"COD"
2005,2.3,"COD"
2006,NA,"COD"
2007,NA,"COD"
2008,NA,"COD"
2009,NA,"COD"
1998,NA,"COD"
1999,NA,"COD"
2000,NA,"COD"
2001,NA,"COD"
2002,NA,"COD"
2003,NA,"COD"
2004,2.3,"COD"
2005,NA,"COD"
2006,NA,"COD"
2007,NA,"COD"
2008,NA,"COD"
2009,NA,"COD"
1998,NA,"COD"
1999,NA,"COD"
2000,NA,"COD"
2001,NA,"COD"
2002,NA,"COD"
2003,2.2,"COD"
2004,NA,"COD"
2005,NA,"COD"
2006,NA,"COD"
2007,NA,"COD"
2008,NA,"COD"
2009,NA,"COD"
1998,5.6,"CRI"
1999,5.1,"CRI"
2000,5.4,"CRI"
2001,4.5,"CRI"
2002,4.5,"CRI"
2003,4.3,"CRI"
2004,4.9,"CRI"
2005,4.2,"CRI"
2006,4.1,"CRI"
2007,5,"CRI"
2008,5.1,"CRI"
2009,5.3,"CRI"
1998,NA,"CIV"
1999,NA,"CIV"
2000,NA,"CIV"
2001,2.4,"CIV"
2002,NA,"CIV"
2003,NA,"CIV"
2004,2,"CIV"
2005,NA,"CIV"
2006,NA,"CIV"
2007,NA,"CIV"
2008,NA,"CIV"
2009,NA,"CIV"
1998,NA,"CIV"
1999,NA,"CIV"
2000,NA,"CIV"
2001,NA,"CIV"
2002,2.7,"CIV"
2003,2.1,"CIV"
2004,NA,"CIV"
2005,1.9,"CIV"
2006,NA,"CIV"
2007,2.1,"CIV"
2008,NA,"CIV"
2009,NA,"CIV"
1998,NA,"CIV"
1999,NA,"CIV"
2000,NA,"CIV"
2001,NA,"CIV"
2002,NA,"CIV"
2003,NA,"CIV"
2004,NA,"CIV"
2005,NA,"CIV"
2006,2.1,"CIV"
2007,NA,"CIV"
2008,2,"CIV"
2009,2.1,"CIV"
1998,NA,"CIV"
1999,NA,"CIV"
2000,2.7,"CIV"
2001,NA,"CIV"
2002,NA,"CIV"
2003,NA,"CIV"
2004,NA,"CIV"
2005,NA,"CIV"
2006,NA,"CIV"
2007,NA,"CIV"
2008,NA,"CIV"
2009,NA,"CIV"
1998,NA,"HRV"
1999,2.7,"HRV"
2000,3.7,"HRV"
2001,3.9,"HRV"
2002,3.8,"HRV"
2003,3.7,"HRV"
2004,3.5,"HRV"
2005,3.4,"HRV"
2006,3.4,"HRV"
2007,4.1,"HRV"
2008,4.4,"HRV"
2009,4.1,"HRV"
1998,NA,"CUB"
1999,NA,"CUB"
2000,NA,"CUB"
2001,NA,"CUB"
2002,NA,"CUB"
2003,4.6,"CUB"
2004,3.7,"CUB"
2005,3.8,"CUB"
2006,3.5,"CUB"
2007,4.2,"CUB"
2008,4.3,"CUB"
2009,4.4,"CUB"
1998,NA,"CYP"
1999,NA,"CYP"
2000,NA,"CYP"
2001,NA,"CYP"
2002,NA,"CYP"
2003,6.1,"CYP"
2004,5.4,"CYP"
2005,5.7,"CYP"
2006,5.6,"CYP"
2007,5.3,"CYP"
2008,6.4,"CYP"
2009,6.6,"CYP"
1998,4.8,"CZE"
1999,4.6,"CZE"
2000,4.3,"CZE"
2001,3.9,"CZE"
2002,3.7,"CZE"
2003,3.9,"CZE"
2004,4.2,"CZE"
2005,4.3,"CZE"
2006,4.8,"CZE"
2007,NA,"CZE"
2008,5.2,"CZE"
2009,4.9,"CZE"
1998,NA,"CZE"
1999,NA,"CZE"
2000,NA,"CZE"
2001,NA,"CZE"
2002,NA,"CZE"
2003,NA,"CZE"
2004,NA,"CZE"
2005,NA,"CZE"
2006,NA,"CZE"
2007,5.2,"CZE"
2008,NA,"CZE"
2009,NA,"CZE"
1998,NA,"COG"
1999,NA,"COG"
2000,NA,"COG"
2001,NA,"COG"
2002,NA,"COG"
2003,NA,"COG"
2004,NA,"COG"
2005,NA,"COG"
2006,NA,"COG"
2007,NA,"COG"
2008,NA,"COG"
2009,1.9,"COG"
1998,NA,"COD"
1999,NA,"COD"
2000,NA,"COD"
2001,NA,"COD"
2002,NA,"COD"
2003,NA,"COD"
